标题,作者,来源,发表时间,文献类型
基于知识图谱的分布式光伏运维方案匹配方法,"['欧一鸣', '苏雍贺', '靳健', '倪玮晨', '陶飞']",计算机集成制造系统,2021-03-18 12:00,期刊
基于科学知识图谱的针灸专利计量可视化研究,"['王福民', '胡远樟', '银子涵', '郭雨怡', '李智威', '', '', '']",世界科学技术-中医药现代化,2021-03-18 10:43,期刊
LncRNA与疾病关系的知识图谱构建,"['龚乐君', '杨璐', '高志宏', '李华康']",山东大学学报(工学版),2021-03-18 07:57,期刊
基于Citespace的失能老年人照护研究热点及趋势分析,"['吴宗辉', '苟翠萍', '李家聘', '戴丽']",保健医学研究与实践,2021-03-16 15:29,期刊
基于BERT的水稻表型知识图谱中关系抽取研究,"['袁培森', '李润隆', '王翀', '徐焕良']",农业机械学报,2021-03-16 11:32,期刊
1989—2018年国内作物连作障碍研究现状——基于CNKI的文献计量学分析和科学知识图谱研究,"['夏梅梅', '钟宛凌', '欧阳里山', '孙志蓉', '张子龙']",农学学报,2021-03-16,期刊
信息组织4.0时代智慧化知识组织的知识协同服务,['林晓欣'],图书馆,2021-03-15 11:07,期刊
基于知识图谱的医疗管理研究可视化计量分析,['张富程'],中国医疗管理科学,2021-03-15,期刊
基于知识图谱的我国国际陆港研究综述,"['张晟义', '陈明月']",湖北经济学院学报,2021-03-15,期刊
基于多任务学习的短文本实体链接方法,"['詹飞', '朱艳辉', '梁文桐', '张旭', '欧阳康', '', '', '']",计算机工程,2021-03-12 16:41,期刊
基于CiteSpace的我国绿色生态网络研究热点与趋势,"['韦宝婧', '胡希军', '朱满乐', '彭琳玉', '徐凯恒']",经济地理,2021-03-12 10:01,期刊
国内城镇开发边界研究进展的知识图谱——基于中国知网（1996—2019）数据,"['黄世鑫', '蔡云楠']",热带地理,2021-03-12 09:53,期刊
TransPath:一种基于深度迁移强化学习的知识推理方法,"['崔员宁', '李静', '陈琰', '陆正嘉']",小型微型计算机系统,2021-03-19 15:00,期刊
基于知识图谱的长江流域内地表蒸散研究进展,"['季永月', '陈吉龙', '唐青青', '吴胜军', '晏黎明', '', '']",水资源保护,2021-03-19 14:32,期刊
村规民约研究热点及未来展望,"['赵银红', '闫萍']",石家庄学院学报,2021-03-19,期刊
基于CiteSpace的国内夜间灯光数据研究知识图谱分析,['曾冰'],测绘与空间地理信息,2021-03-19,期刊
社会网络分析在教育领域的应用,['宋佳益'],科技风,2021-03-19,期刊
An ontology-based deep learning approach for triple classification with out-of-knowledge-base entities,['Amador-Domínguez Elvira;Serrano Emilio;Manrique Daniel;Hohenecker Patrick;Lukasiewicz Thomas'],Information Sciences,2021-03-19,外文期刊
基于知识图谱嵌入的定义域值域约束补全方法,"['雷景佩', '欧阳丹彤', '张立明']",吉林大学学报(工学版),2021-03-18 15:24,期刊
煤矿装备维护知识图谱构建及应用,"['曹现刚', '张梦园', '雷卓', '段欣宇', '陈瑞昊']",工矿自动化,2021-03-18 14:40,期刊
基于知识图谱的分布式光伏运维方案匹配方法,"['欧一鸣', '苏雍贺', '靳健', '倪玮晨', '陶飞']",计算机集成制造系统,2021-03-18 12:00,期刊
基于科学知识图谱的针灸专利计量可视化研究,"['王福民', '胡远樟', '银子涵', '郭雨怡', '李智威', '', '', '']",世界科学技术-中医药现代化,2021-03-18 10:43,期刊
LncRNA与疾病关系的知识图谱构建,"['龚乐君', '杨璐', '高志宏', '李华康']",山东大学学报(工学版),2021-03-18 07:57,期刊
基于Citespace的失能老年人照护研究热点及趋势分析,"['吴宗辉', '苟翠萍', '李家聘', '戴丽']",保健医学研究与实践,2021-03-16 15:29,期刊
基于BERT的水稻表型知识图谱中关系抽取研究,"['袁培森', '李润隆', '王翀', '徐焕良']",农业机械学报,2021-03-16 11:32,期刊
1989—2018年国内作物连作障碍研究现状——基于CNKI的文献计量学分析和科学知识图谱研究,"['夏梅梅', '钟宛凌', '欧阳里山', '孙志蓉', '张子龙']",农学学报,2021-03-16,期刊
信息组织4.0时代智慧化知识组织的知识协同服务,['林晓欣'],图书馆,2021-03-15 11:07,期刊
基于知识图谱的医疗管理研究可视化计量分析,['张富程'],中国医疗管理科学,2021-03-15,期刊
基于知识图谱的我国国际陆港研究综述,"['张晟义', '陈明月']",湖北经济学院学报,2021-03-15,期刊
基于多任务学习的短文本实体链接方法,"['詹飞', '朱艳辉', '梁文桐', '张旭', '欧阳康', '', '', '']",计算机工程,2021-03-12 16:41,期刊
基于CiteSpace的我国绿色生态网络研究热点与趋势,"['韦宝婧', '胡希军', '朱满乐', '彭琳玉', '徐凯恒']",经济地理,2021-03-12 10:01,期刊
国内城镇开发边界研究进展的知识图谱——基于中国知网（1996—2019）数据,"['黄世鑫', '蔡云楠']",热带地理,2021-03-12 09:53,期刊
TransPath:一种基于深度迁移强化学习的知识推理方法,"[{'name': '崔员宁', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%b4%94%e5%91%98%e5%ae%81&scode=43931005&acode=43931005'}, {'name': '李静', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%8e%e9%9d%99&scode=08725881&acode=08725881'}, {'name': '陈琰', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%88%e7%90%b0&scode=30497703&acode=30497703'}, {'name': '陆正嘉', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%86%e6%ad%a3%e5%98%89&scode=32474615&acode=32474615'}]",小型微型计算机系统,2021-03-19 15:00,期刊
基于知识图谱的长江流域内地表蒸散研究进展,"[{'name': '季永月', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%ad%a3%e6%b0%b8%e6%9c%88&scode=44514363&acode=44514363'}, {'name': '陈吉龙', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%88%e5%90%89%e9%be%99&scode=33244603&acode=33244603'}, {'name': '唐青青', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%94%90%e9%9d%92%e9%9d%92&scode=48763969&acode=48763969'}, {'name': '吴胜军', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%90%b4%e8%83%9c%e5%86%9b&scode=33234781&acode=33234781'}, {'name': '晏黎明', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%99%8f%e9%bb%8e%e6%98%8e&scode=21118445&acode=21118445'}, {'name': '', 'href': None}, {'name': '', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%b0%ad%e5%a4%a7%e6%98%8e&scode=35052161&acode=35052161'}]",水资源保护,2021-03-19 14:32,期刊
村规民约研究热点及未来展望,"[{'name': '赵银红', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e8%b5%b5%e9%93%b6%e7%ba%a2&scode=22418064&acode=22418064'}, {'name': '闫萍', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e9%97%ab%e8%90%8d&scode=48435357&acode=48435357'}]",石家庄学院学报,2021-03-19,期刊
基于CiteSpace的国内夜间灯光数据研究知识图谱分析,"[{'name': '曾冰', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9b%be%e5%86%b0&scode=35340566&acode=35340566'}]",测绘与空间地理信息,2021-03-19,期刊
社会网络分析在教育领域的应用,"[{'name': '宋佳益', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e5%ae%8b%e4%bd%b3%e7%9b%8a&scode=48764963&acode=48764963'}]",科技风,2021-03-19,期刊
TransPath:一种基于深度迁移强化学习的知识推理方法,"[{'name': '崔员宁', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%b4%94%e5%91%98%e5%ae%81&scode=43931005&acode=43931005'}, {'name': '李静', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%8e%e9%9d%99&scode=08725881&acode=08725881'}, {'name': '陈琰', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%88%e7%90%b0&scode=30497703&acode=30497703'}, {'name': '陆正嘉', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%86%e6%ad%a3%e5%98%89&scode=32474615&acode=32474615'}]",小型微型计算机系统,2021-03-19 15:00,期刊
基于知识图谱的长江流域内地表蒸散研究进展,"[{'name': '季永月', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%ad%a3%e6%b0%b8%e6%9c%88&scode=44514363&acode=44514363'}, {'name': '陈吉龙', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%88%e5%90%89%e9%be%99&scode=33244603&acode=33244603'}, {'name': '唐青青', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%94%90%e9%9d%92%e9%9d%92&scode=48763969&acode=48763969'}, {'name': '吴胜军', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%90%b4%e8%83%9c%e5%86%9b&scode=33234781&acode=33234781'}, {'name': '晏黎明', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%99%8f%e9%bb%8e%e6%98%8e&scode=21118445&acode=21118445'}, {'name': '', 'href': None}, {'name': '', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%b0%ad%e5%a4%a7%e6%98%8e&scode=35052161&acode=35052161'}]",水资源保护,2021-03-19 14:32,期刊
村规民约研究热点及未来展望,"[{'name': '赵银红', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e8%b5%b5%e9%93%b6%e7%ba%a2&scode=22418064&acode=22418064'}, {'name': '闫萍', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e9%97%ab%e8%90%8d&scode=48435357&acode=48435357'}]",石家庄学院学报,2021-03-19,期刊
基于CiteSpace的国内夜间灯光数据研究知识图谱分析,"[{'name': '曾冰', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9b%be%e5%86%b0&scode=35340566&acode=35340566'}]",测绘与空间地理信息,2021-03-19,期刊
社会网络分析在教育领域的应用,"[{'name': '宋佳益', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e5%ae%8b%e4%bd%b3%e7%9b%8a&scode=48764963&acode=48764963'}]",科技风,2021-03-19,期刊
TransPath:一种基于深度迁移强化学习的知识推理方法,"[{'name': '崔员宁', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%b4%94%e5%91%98%e5%ae%81&scode=43931005&acode=43931005'}, {'name': '李静', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9d%8e%e9%9d%99&scode=08725881&acode=08725881'}, {'name': '陈琰', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%88%e7%90%b0&scode=30497703&acode=30497703'}, {'name': '陆正嘉', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%86%e6%ad%a3%e5%98%89&scode=32474615&acode=32474615'}]",小型微型计算机系统,2021-03-19 15:00,期刊
基于知识图谱的长江流域内地表蒸散研究进展,"[{'name': '季永月', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%ad%a3%e6%b0%b8%e6%9c%88&scode=44514363&acode=44514363'}, {'name': '陈吉龙', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e9%99%88%e5%90%89%e9%be%99&scode=33244603&acode=33244603'}, {'name': '唐青青', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%94%90%e9%9d%92%e9%9d%92&scode=48763969&acode=48763969'}, {'name': '吴胜军', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e5%90%b4%e8%83%9c%e5%86%9b&scode=33234781&acode=33234781'}, {'name': '晏黎明', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e6%99%8f%e9%bb%8e%e6%98%8e&scode=21118445&acode=21118445'}, {'name': '', 'href': None}, {'name': '', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CAPJ&sfield=%e4%bd%9c%e8%80%85&skey=%e8%b0%ad%e5%a4%a7%e6%98%8e&scode=35052161&acode=35052161'}]",水资源保护,2021-03-19 14:32,期刊
村规民约研究热点及未来展望,"[{'name': '赵银红', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e8%b5%b5%e9%93%b6%e7%ba%a2&scode=22418064&acode=22418064'}, {'name': '闫萍', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e9%97%ab%e8%90%8d&scode=48435357&acode=48435357'}]",石家庄学院学报,2021-03-19,期刊
基于CiteSpace的国内夜间灯光数据研究知识图谱分析,"[{'name': '曾冰', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e6%9b%be%e5%86%b0&scode=35340566&acode=35340566'}]",测绘与空间地理信息,2021-03-19,期刊
社会网络分析在教育领域的应用,"[{'name': '宋佳益', 'href': 'https://kns.cnki.net/KNS8/Detail?sdb=CJFD&sfield=%e4%bd%9c%e8%80%85&skey=%e5%ae%8b%e4%bd%b3%e7%9b%8a&scode=48764963&acode=48764963'}]",科技风,2021-03-19,期刊
An ontology-based deep learning approach for triple classification with out-of-knowledge-base entities,"[{'name': 'Amador-Domínguez Elvira;Serrano Emilio;Manrique Daniel;Hohenecker Patrick;Lukasiewicz Thomas', 'href': '#'}]",Information Sciences,2021-03-19,外文期刊
